央视频道,#genre#
CCTV1综合,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV1hd-8M.m3u8&sign=1thrd3
CCTV2财经,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV2hd-8M.m3u8&sign=1thrd3
CCTV3综艺,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV3hd-8M.m3u8&sign=1thrd3
CCTV4中文国际,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV4hd-8M.m3u8&sign=1thrd3
CCTV5体育,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV5hd-8M.m3u8&sign=1thrd3
CCTV5+体育赛事,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV5phd-8M.m3u8&sign=1thrd3
CCTV6电影,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV6hd-8M.m3u8&sign=1thrd3
CCTV7国防军事,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV7hd-8M.m3u8&sign=1thrd3
CCTV8电视剧,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV8hd-8M.m3u8&sign=1thrd3
CCTV9纪录,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV9hd-8M.m3u8&sign=1thrd3
CCTV10科教,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV10hd-8M.m3u8&sign=1thrd3
CCTV11戏曲,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV11hd-8M.m3u8&sign=1thrd3
CCTV12社会与法,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV12hd-8M.m3u8&sign=1thrd3
CCTV13新闻,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV13-1500k.m3u8&sign=1thrd3
CCTV14少儿,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV14hd-8M.m3u8&sign=1thrd3
CCTV15音乐,http://114.55.117.163:8081/iptv/gitv.php?id=CCTV15hd-8M.m3u8&sign=1thrd3
CETV1中教1台,http://114.55.117.163:8081/iptv/gitv.php?id=CETV1hd-8M.m3u8&sign=1thrd3

卫视频道,#genre#
北京卫视,http://114.55.117.163:8081/iptv/gitv.php?id=BJWShd-8M.m3u8&sign=1thrd3
东方卫视,http://114.55.117.163:8081/iptv/gitv.php?id=DFWShd-8M.m3u8&sign=1thrd3
天津卫视,http://114.55.117.163:8081/iptv/gitv.php?id=TJWShd-8M.m3u8&sign=1thrd3
重庆卫视,http://114.55.117.163:8081/iptv/gitv.php?id=CQWShd-8M.m3u8&sign=1thrd3
黑龙江卫视,http://114.55.117.163:8081/iptv/gitv.php?id=HLJWShd-8M.m3u8&sign=1thrd3
吉林卫视,http://114.55.117.163:8081/iptv/gitv.php?id=JLWS-1500k.m3u8&sign=1thrd3
辽宁卫视,http://114.55.117.163:8081/iptv/gitv.php?id=LNWShd-8M.m3u8&sign=1thrd3
河北卫视,http://114.55.117.163:8081/iptv/gitv.php?id=HeBWShd-8M.m3u8&sign=1thrd3
山东卫视,http://114.55.117.163:8081/iptv/gitv.php?id=SDWShd-8M.m3u8&sign=1thrd3
安徽卫视,http://114.55.117.163:8081/iptv/gitv.php?id=AHWShd-8M.m3u8&sign=1thrd3
河南卫视,http://114.55.117.163:8081/iptv/gitv.php?id=HuNWShd-8M.m3u8&sign=1thrd3
湖北卫视,http://114.55.117.163:8081/iptv/gitv.php?id=HuBWShd-8M.m3u8&sign=1thrd3
湖南卫视,http://114.55.117.163:8081/iptv/gitv.php?id=HuNWShd-8M.m3u8&sign=1thrd3
江西卫视,http://114.55.117.163:8081/iptv/gitv.php?id=JXWS-1500k.m3u8&sign=1thrd3
江苏卫视,http://114.55.117.163:8081/iptv/gitv.php?id=JSWShd-8M.m3u8&sign=1thrd3
浙江卫视,http://114.55.117.163:8081/iptv/gitv.php?id=ZJWShd-8M.m3u8&sign=1thrd3
东南卫视,http://114.55.117.163:8081/iptv/gitv.php?id=DNWShd-8M.m3u8&sign=1thrd3
广东卫视,http://114.55.117.163:8081/iptv/gitv.php?id=GDWShd-8M.m3u8&sign=1thrd3
深圳卫视,http://114.55.117.163:8081/iptv/gitv.php?id=SZWShd-8M.m3u8&sign=1thrd3
贵州卫视,http://114.55.117.163:8081/iptv/gitv.php?id=GZWShd-8M.m3u8&sign=1thrd3

港澳频道,#genre#
凤凰中文,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8?sign=1thrd3
凤凰资讯,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8?sign=1thrd3
凤凰香港,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8?sign=1thrd3
