央视频道,#genre#
CCTV1,http://123.168.95.53:4000/rtp/239.21.1.120:5002
CCTV1,http://123.168.95.53:4000/rtp/239.21.1.1:5002
CCTV2,http://123.168.95.53:4000/rtp/239.21.1.151:5002
CCTV2,http://123.168.95.53:4000/rtp/239.21.1.2:5002
CCTV4,http://123.168.95.53:4000/rtp/239.21.1.154:5002
CCTV5,http://123.168.95.53:4000/rtp/239.21.1.5:5002
CCTV5+,http://123.168.95.53:4000/rtp/239.21.1.142:5002
CCTV5+,http://123.168.95.53:4000/rtp/239.21.2.46:5002
CCTV7,http://123.168.95.53:4000/rtp/239.21.1.152:5002
CCTV9,http://123.168.95.53:4000/rtp/239.21.1.153:5002
CCTV9,http://123.168.95.53:4000/rtp/239.21.1.9:5002
CCTV10,http://123.168.95.53:4000/rtp/239.21.1.11:5002
CCTV10,http://123.168.95.53:4000/rtp/239.21.1.155:5002
CCTV11,http://123.168.95.53:4000/rtp/239.21.2.2:5002
CCTV12,http://123.168.95.53:4000/rtp/239.21.1.13:5002
CCTV12,http://123.168.95.53:4000/rtp/239.21.1.156:5002
CCTV14,http://123.168.95.53:4000/rtp/239.21.1.15:5002
CCTV15,http://123.168.95.53:4000/rtp/239.21.2.4:5002
卫视频道,#genre#
湖南卫视,http://123.168.95.53:4000/rtp/239.21.1.158:5002
湖南卫视,http://123.168.95.53:4000/rtp/239.21.1.18:5002
北京卫视,http://123.168.95.53:4000/rtp/239.21.1.20:5002
北京卫视,http://123.168.95.53:4000/rtp/239.21.1.88:5002
安徽卫视,http://123.168.95.53:4000/rtp/239.21.1.159:5002
广东卫视,http://123.168.95.53:4000/rtp/239.21.1.92:5002
辽宁卫视,http://123.168.95.53:4000/rtp/239.21.1.164:5002
辽宁卫视,http://123.168.95.53:4000/rtp/239.21.1.27:5002
山东卫视,http://123.168.95.53:4000/rtp/239.21.1.87:5002
天津卫视,http://123.168.95.53:4000/rtp/239.21.1.165:5002
重庆卫视,http://123.168.95.53:4000/rtp/239.21.1.233:5002
甘肃卫视,http://123.168.95.53:4000/rtp/239.21.1.47:5002
甘肃卫视,http://123.168.95.53:4000/rtp/239.21.2.19:5002
贵州卫视,http://123.168.95.53:4000/rtp/239.21.1.166:5002
贵州卫视,http://123.168.95.53:4000/rtp/239.21.1.42:5002
河北卫视,http://123.168.95.53:4000/rtp/239.21.1.35:5002
河南卫视,http://123.168.95.53:4000/rtp/239.21.1.38:5002
河南卫视,http://123.168.95.53:4000/rtp/239.21.2.37:5002
江西卫视,http://123.168.95.53:4000/rtp/239.21.1.167:5002
江西卫视,http://123.168.95.53:4000/rtp/239.21.1.36:5002
内蒙古卫视,http://123.168.95.53:4000/rtp/239.21.1.41:5002
山西卫视,http://123.168.95.53:4000/rtp/239.21.1.33:5002
陕西卫视,http://123.168.95.53:4000/rtp/239.21.1.30:5002
四川卫视,http://123.168.95.53:4000/rtp/239.21.1.34:5002
云南卫视,http://123.168.95.53:4000/rtp/239.21.1.40:5002
厦门卫视,http://123.168.95.53:4000/rtp/239.21.2.6:5002
西藏卫视,http://123.168.95.53:4000/rtp/239.21.1.46:5002
三沙卫视,http://123.168.95.53:4000/rtp/239.21.2.9:5002
嘉佳卡通,http://123.168.95.53:4000/rtp/239.21.2.5:5002
优漫卡通,http://123.168.95.53:4000/rtp/239.21.1.50:5002
数字频道,#genre#
生活时尚,http://123.168.95.53:4000/rtp/239.21.2.103:5002
财富天下,http://123.168.95.53:4000/rtp/239.21.1.127:5002
教育频道,#genre#
中国教育2,http://123.168.95.53:4000/rtp/239.21.2.8:5002
中国教育4,http://123.168.95.53:4000/rtp/239.21.1.222:5002
CGTN,http://123.168.95.53:4000/rtp/239.21.2.31:5002
CGTN俄语,http://123.168.95.53:4000/rtp/239.21.2.35:5002
华东地区,#genre#
法治天地,http://123.168.95.53:4000/rtp/239.21.2.105:5002
山东公共,http://123.168.95.53:4000/rtp/239.21.1.140:5002
山东公共,http://123.168.95.53:4000/rtp/239.21.1.54:5002
山东教育,http://123.168.95.53:4000/rtp/239.21.1.101:5002
山东农科,http://123.168.95.53:4000/rtp/239.21.1.183:5002
山东少儿,http://123.168.95.53:4000/rtp/239.21.1.60:5002
山东生活,http://123.168.95.53:4000/rtp/239.21.1.175:5002
山东体育,http://123.168.95.53:4000/rtp/239.21.1.141:5002
山东影视,http://123.168.95.53:4000/rtp/239.21.1.176:5002
山东综艺,http://123.168.95.53:4000/rtp/239.21.1.177:5002
烟台经济,http://123.168.95.53:4000/rtp/239.21.1.205:5002
莱西新闻,http://123.168.95.53:4000/rtp/239.21.1.247:5002
平度新闻,http://123.168.95.53:4000/rtp/239.21.1.228:5002
齐鲁频道,http://123.168.95.53:4000/rtp/239.21.1.134:5002
齐鲁频道,http://123.168.95.53:4000/rtp/239.21.1.53:5002
兖州新闻,http://123.168.95.53:4000/rtp/239.21.1.224:5002
郓城新闻,http://123.168.95.53:4000/rtp/239.21.1.251:5002
禹城综艺,http://123.168.95.53:4000/rtp/239.21.1.242:5002
华中地区,#genre#
金鹰纪实,http://123.168.95.53:4000/rtp/239.21.1.170:5002
其他频道,#genre#
103号,http://123.168.95.53:4000/rtp/239.21.1.103:5002
109号,http://123.168.95.53:4000/rtp/239.21.1.109:5002
10号,http://123.168.95.53:4000/rtp/239.21.2.10:5002
111号,http://123.168.95.53:4000/rtp/239.21.2.111:5002
114号,http://123.168.95.53:4000/rtp/239.21.1.114:5002
116号,http://123.168.95.53:4000/rtp/239.21.2.116:5002
118号,http://123.168.95.53:4000/rtp/239.21.2.118:5002
119号,http://123.168.95.53:4000/rtp/239.21.1.119:5002
132号,http://123.168.95.53:4000/rtp/239.21.2.132:5002
135号,http://123.168.95.53:4000/rtp/239.21.2.135:5002
139号,http://123.168.95.53:4000/rtp/239.21.1.139:5002
13号,http://123.168.95.53:4000/rtp/239.21.2.13:5002
144号,http://123.168.95.53:4000/rtp/239.21.1.144:5002
14号,http://123.168.95.53:4000/rtp/239.21.2.14:5002
174号,http://123.168.95.53:4000/rtp/239.21.1.174:5002
181号,http://123.168.95.53:4000/rtp/239.21.1.181:5002
