

秒开,#genre#

CCTV1,http://113.218.230.180:8081/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727184611$晚高峰卡
CCTV1,http://219.159.194.157:8181/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727184611$晚高峰卡
CCTV1,http://171.38.195.227:8088/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727184611$晚高峰卡
CCTV1,http://171.38.192.25:8088/tsfile/live/0001_1.m3u8?key=Aikantv&t=1727184612$晚高峰卡
CCTV2,http://113.218.230.180:8081/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727184612$晚高峰卡
CCTV2,http://219.159.194.157:8181/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727184612$晚高峰卡
CCTV2,http://171.38.195.227:8088/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727184612$晚高峰卡
CCTV2,http://171.38.192.25:8088/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727184612$晚高峰卡
CCTV2,http://171.38.195.114:8088/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727184612$晚高峰卡
CCTV2,http://223.159.9.41:8099/tsfile/live/0002_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV3,http://171.38.192.25:8088/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV3,http://113.218.230.180:8081/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV3,http://171.38.195.114:8088/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV3,http://219.159.194.157:8181/tsfile/live/0003_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV4,http://223.159.9.41:8099/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV4,http://113.218.230.180:8081/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV4,http://171.38.195.114:8088/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV4,http://219.159.194.157:8181/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
CCTV4,http://171.38.192.25:8088/tsfile/live/0004_1.m3u8?key=Aikantv&t=1727184613$晚高峰卡
